"Name","PackageFullName"
"Microsoft.MicrosoftEdge.Stable","Microsoft.MicrosoftEdge.Stable_152.0.4191.53_neutral__8wekyb3d8bbwe"
"Microsoft.MicrosoftEdgeDevToolsClient","Microsoft.MicrosoftEdgeDevToolsClient_1000.25128.1000.0_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.MPEG2VideoExtension","Microsoft.MPEG2VideoExtension_1.2.32.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.2.2","Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.2.2","Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.2.2","Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.2.2","Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe"
"Microsoft.Paint","Microsoft.Paint_11.2605.81.0_x64__8wekyb3d8bbwe"
"Microsoft.RawImageExtension","Microsoft.RawImageExtension_2.5.24.0_x64__8wekyb3d8bbwe"
"Microsoft.ScreenSketch","Microsoft.ScreenSketch_11.2605.37.0_x64__8wekyb3d8bbwe"
"Microsoft.SecHealthUI","Microsoft.SecHealthUI_1000.29628.1000.0_x64__8wekyb3d8bbwe"
"Microsoft.Services.Store.Engagement","Microsoft.Services.Store.Engagement_10.0.23012.0_x64__8wekyb3d8bbwe"
"Microsoft.Services.Store.Engagement","Microsoft.Services.Store.Engagement_10.0.23012.0_x86__8wekyb3d8bbwe"
"Microsoft.StartExperiencesApp","Microsoft.StartExperiencesApp_1.380.2.0_x64__8wekyb3d8bbwe"
"Microsoft.StorePurchaseApp","Microsoft.StorePurchaseApp_22607.1401.2.0_x64__8wekyb3d8bbwe"
"Microsoft.Todos","Microsoft.Todos_0.176.7601.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2501.31001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2511.26001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.CBS","Microsoft.UI.Xaml.CBS_9.2603.18001.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x86__8wekyb3d8bbwe"
"Microsoft.VP9VideoExtensions","Microsoft.VP9VideoExtensions_1.2.20.0_x64__8wekyb3d8bbwe"
"Microsoft.WebMediaExtensions","Microsoft.WebMediaExtensions_2.1.38.0_x64__8wekyb3d8bbwe"
"Microsoft.WebpImageExtension","Microsoft.WebpImageExtension_1.2.31.0_x64__8wekyb3d8bbwe"
"Microsoft.WidgetsPlatformRuntime","Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe"
"Microsoft.Win32WebViewHost","Microsoft.Win32WebViewHost_10.0.26100.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.Apprep.ChxApp","Microsoft.Windows.Apprep.ChxApp_1000.25128.1000.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.AssignedAccessLockApp","Microsoft.Windows.AssignedAccessLockApp_1000.25128.1000.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.AugLoop.CBS","Microsoft.Windows.AugLoop.CBS_1.1126.2131.0_x64__8wekyb3d8bbwe"
"Microsoft.Windows.CapturePicker","Microsoft.Windows.CapturePicker_10.0.19580.1000_neutral__cw5n1h2txyewy"
"Microsoft.Windows.CloudExperienceHost","Microsoft.Windows.CloudExperienceHost_10.0.26100.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.ContentDeliveryManager","Microsoft.Windows.ContentDeliveryManager_10.0.26100.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.NarratorQuickStart","Microsoft.Windows.NarratorQuickStart_10.0.26100.1_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.Windows.OOBENetworkCaptivePortal","Microsoft.Windows.OOBENetworkCaptivePortal_10.0.26569.1000_neutral__cw5n1h2txyewy"
"Microsoft.Windows.OOBENetworkConnectionFlow","Microsoft.Windows.OOBENetworkConnectionFlow_10.0.26569.1000_neutral__cw5n1h2txyewy"
"Microsoft.Windows.ParentalControls","Microsoft.Windows.ParentalControls_1000.25128.1000.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.PeopleExperienceHost","Microsoft.Windows.PeopleExperienceHost_10.0.26100.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.Photos","Microsoft.Windows.Photos_2026.11060.2004.0_x64__8wekyb3d8bbwe"
"Microsoft.Windows.PinningConfirmationDialog","Microsoft.Windows.PinningConfirmationDialog_1000.25140.1001.0_neutral__cw5n1h2txyewy"
"Microsoft.Windows.PrintQueueActionCenter","Microsoft.Windows.PrintQueueActionCenter_1.0.2.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.SecureAssessmentBrowser","Microsoft.Windows.SecureAssessmentBrowser_10.0.26100.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.ShellExperienceHost","Microsoft.Windows.ShellExperienceHost_10.0.26100.8115_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.StartMenuExperienceHost","Microsoft.Windows.StartMenuExperienceHost_10.0.26100.4768_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.XGpuEjectDialog","Microsoft.Windows.XGpuEjectDialog_10.0.26100.1_neutral_neutral_cw5n1h2txyewy"
"Microsoft.WindowsAlarms","Microsoft.WindowsAlarms_1.1.154.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.785.2325.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.7","Microsoft.WindowsAppRuntime.1.7_7000.785.2325.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.946.1701.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.8","Microsoft.WindowsAppRuntime.1.8_8000.946.1701.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.2","Microsoft.WindowsAppRuntime.2_2.4.0.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.2","Microsoft.WindowsAppRuntime.2_2.4.0.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.CBS","Microsoft.WindowsAppRuntime.CBS_5001.373.1736.100_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.CBS.1.6","Microsoft.WindowsAppRuntime.CBS.1.6_6000.900.156.100_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.CBS.1.8","Microsoft.WindowsAppRuntime.CBS.1.8_8000.625.330.100_x64__8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.CBS.2","Microsoft.WindowsAppRuntime.CBS.2_2.2.0.100_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCalculator","Microsoft.WindowsCalculator_11.2606.0.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCamera","Microsoft.WindowsCamera_2026.2605.7.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsNotepad","Microsoft.WindowsNotepad_11.2606.15.0_x64__8wekyb3d8bbwe"
